fsym_id	ticker
B3MVC1-R	CHSP-US
B3MZ3P-R	FNKO-US
B3MZH1-R	TAGG.XX1-US
B3N0P6-R	GDIFX-US
B3N72D-R	JPM.PRC.XX2-US
B3ND8F-R	TASA4-BR
B3NN85-R	PTSOX-US
B3NQXR-R	AEVYX-US
B3NXSF-R	MDBRX-US
B3NYG2-R	FCBIX-US
B3NZCZ-R	HFPAX-US
B3P0L4-R	BFRIX-US
B3P81C-R	GWIC11-BR
B3PB5F-R	MLPPX-US
B3PRC6-R	CUBAX-US
B3PZP9-R	HBC5008384-US
B3Q0WG-R	CHK.P-CA
B3Q55M-R	VFMO-US
B3Q67N-R	NTT1N-MX
B3QV5Z-R	UBS4851563-US
B3R7ZC-R	BCS4945041-US
B3R8X8-R	RPSFX-US
B3RBCP-R	LMBBX-US
B3RC1B-R	RTG-CA
B3RW92-R	BRIAX-US
B3S0VH-R	RUDQF-US
B3SF6G-R	UBS4938686-US
B3SFBL-R	JPM4913959-US
B3SMVX-R	BHRQY-US
B3T0QD-R	PNC.RT-CA
B3TG9K-R	FUODX-US
B3V0C2-R	UBS5000860-US
B3WQCF-R	NPKYY-US
B3X32S-R	LIKAX-US
B3XHBN-R	AVNU-US
B3XK6G-R	UBS5030506-US
B3XN05-R	TRAC-US
B3XSNP-R	GOLD1NN-MX
B3XV10-R	AQST-US
B3YG1F-R	KEFAX-US
B3YHP0-R	MEILZ-US
B3YS68-R	WABIX-US
B3YVPP-R	GCOR-US
B3Z0RL-R	MXHPX-US
B3ZDWB-R	RANTX-US
B403B3-R	BMNIX-US
B40L7K-R	PRPL-US
B41140-R	CPPTF-US
B42JL0-R	MEUSW-US
B42KYB-R	CNMTF-US
B42LLZ-R	PXGAX-US
B42S9H-R	NI.WI-US
B44G7T-R	NRNVF-US
B44HFZ-R	CSTA.UT-US
B44KQ5-R	CRYW-US
B45JP6-R	WFC.PRV-US
B46B5Y-R	EQIRX-US
B46GBZ-R	FMSSX-US
B46L9T-R	XOS-US
B46V5F-R	SNJYX-US
B46XZ4-R	RS.PRA-CA
B486PM-R	VSCZX-US
B48F1S-R	BXLYX-US
B48G7Y-R	JGFDX-US
B48GNB-R	GIJCX-US
B48J3R-R	GPCOR-US
B48MH0-R	CMBLX-US
B490PV-R	AUNWF-US
B49WGS-R	HBIOX-US
B49ZT0-R	BITQ-US
B4B6ZZ-R	PMHCX-US
B4BFJ9-R	RRTLX-US
B4BJQD-R	IIFAX-US
B4BYHS-R	ADVTX-US
B4BZV2-R	MAGQX-US
B4C1Z4-R	ASCAU-US
B4CC51-R	GAKIX-US
B4CK0Q-R	TRFWX-US
B4CP4Q-R	ICR.PRA-US
B4D1QY-R	UTAKX-US
B4DF61-R	DOSIX-US
B4F2FN-R	PPGCX-US
B4F4KQ-R	TVT.P-CA
B4FB54-R	ROSS.WT-US
B4GH83-R	RYTCX-US
B4GMD3-R	BLRAX-US
B4H03G-R	NIGRX-US
B4H8RV-R	SDIV.IV-US
B4H9VX-R	SPINX-US
B4HB34-R	IOCT-US
B4HB78-R	HBANO-US
B4HDHG-R	MECFX-US
B4HF53-R	RGC-US
B4HH51-R	MICDX-US
B4HLC4-R	EHEAX-US
B4HMPF-R	HRITX-US
B4HQM8-R	ARBMX-US
B4HRP9-R	VRECX-US
B4HSRB-R	IDX.IV-US
B4HZ2H-R	PHYS.IV-US
